date,time,location,all_aboard,total_fatalities,cause
09/17/1908,1718,USA,2,1,Sin Dato
09/07/1909,-1,France,1,1,Sin Dato
07/12/1912,630,USA,5,5,Sin Dato
08/06/1913,-1,Canada,1,1,Weather
09/09/1913,1830,Sea,20,14,Weather
10/17/1913,1030,Germany,28,28,Cargo Hold / Cabin / Cockpit Fires
03/05/1915,100,Belgium,41,17,Shot Down
09/03/1915,1520,Germany,19,19,Weather
07/28/1916,-1,Bulgeria,20,20,Unknown
09/24/1916,100,UK,22,22,Cargo Hold / Cabin / Cockpit Fires
10/01/1916,2345,UK,19,19,Cargo Hold / Cabin / Cockpit Fires
11/21/1916,-1,Germany,28,27,Weather
11/28/1916,2345,UK,20,20,Cargo Hold / Cabin / Cockpit Fires
03/04/1917,-1,Belgium,20,20,Cargo Hold / Cabin / Cockpit Fires
03/30/1917,-1,Germany,23,23,Weather
05/14/1917,515,Sea,21,21,Cargo Hold / Cabin / Cockpit Fires
06/14/1917,845,Sea,24,24,Shot Down
06/17/1917,-1,UK,16,14,Shot Down
08/21/1917,700,Denmark,18,18,Shot Down
10/20/1917,745,France,18,18,Cargo Hold / Cabin / Cockpit Fires
04/07/1918,2130,Mediterranean,23,23,Sin Dato
08/05/1918,-1,Germany,22,22,Shot Down
08/11/1918,1000,Sea,19,19,Shot Down
12/16/1918,-1,USA,1,1,Sin Dato
05/25/1919,-1,USA,1,1,Cargo Hold / Cabin / Cockpit Fires
07/19/1919,-1,USA,1,1,Unknown
08/02/1919,-1,Italy,14,14,Sin Dato
10/02/1919,-1,UK,1,1,Sin Dato
10/14/1919,-1,USA,1,1,Weather
10/20/1919,-1,Kent,0,0,Weather
10/30/1919,-1,USA,1,1,Sin Dato
12/11/1919,-1,UK,1,1,Sin Dato
03/10/1920,-1,USA,1,1,Weather
03/30/1920,-1,USA,1,1,Weather
04/10/1920,-1,USA,2,1,Cargo Hold / Cabin / Cockpit Fires
04/11/1920,-1,USA,2,1,Unknown
05/12/1920,-1,USA,2,1,Sin Dato
06/06/1920,-1,USA,1,1,Engine Failures
07/20/1920,-1,Columbia,1,1,Fuel Starvation
08/16/1920,-1,UK,1,1,Unknown
08/16/1920,-1,USA,1,1,Weather
09/01/1920,-1,USA,2,2,Cargo Hold / Cabin / Cockpit Fires
09/15/1920,-1,USA,2,2,Cargo Hold / Cabin / Cockpit Fires
09/27/1920,-1,USA,1,1,Weather
10/02/1920,-1,France,2,2,Sin Dato
10/05/1920,-1,Spain,2,2,Sin Dato
10/15/1920,-1,USA,1,1,Weather
11/07/1920,-1,USA,1,1,Sin Dato
12/14/1920,1215,UK,8,4,Pilot Incapacitation
12/24/1920,-1,Spain,1,1,Engine Failures
02/03/1921,-1,USA,1,1,Engine Failures
02/09/1921,-1,USA,3,3,Unknown
02/15/1921,-1,Gibraltar,2,2,Sin Dato
02/22/1921,-1,USA,1,1,Engine Failures
04/06/1921,-1,Australia,2,2,Cargo Hold / Cabin / Cockpit Fires
04/21/1921,-1,USA,1,1,Engine Failures
04/29/1921,-1,USA,1,1,Weather
05/17/1921,-1,USA,1,1,Sin Dato
08/14/1921,-1,France,2,2,Sin Dato
08/24/1921,1740,UK,49,43,Cargo Hold / Cabin / Cockpit Fires
09/06/1921,-1,France,5,5,Sin Dato
12/05/1921,-1,Australia,2,2,Sin Dato
01/14/1922,-1,France,5,5,Sin Dato
02/21/1922,-1,USA,45,34,Sin Dato
03/22/1922,1140,Ocean,6,5,Sin Dato
04/07/1922,1315,France,7,7,Weather
04/08/1922,-1,China,17,17,Sin Dato
06/03/1922,-1,UK,3,3,Sin Dato
07/04/1922,-1,Germany,3,2,Engine Failures
07/16/1922,1645,France,5,5,Engine Failures
07/26/1922,-1,Spain,3,3,Engine Failures
09/07/1922,-1,USA,1,1,Engine Failures
10/02/1922,-1,Italy,4,4,Sin Dato
10/25/1922,-1,Morocco,2,2,Unknown
12/03/1922,-1,Morocco,1,1,Weather
01/10/1923,-1,France,4,3,Sin Dato
01/17/1923,-1,Spain,1,1,Weather
01/18/1923,-1,USA,1,1,Sin Dato
02/26/1923,-1,USA,1,1,Sin Dato
05/14/1923,1342,France,6,6,Cargo Hold / Cabin / Cockpit Fires
08/27/1923,1730,Kingdom,11,1,Engine Failures
08/27/1923,-1,Romania,2,2,Sin Dato
09/07/1923,-1,USA,1,1,Sin Dato
09/14/1923,1800,UK,5,5,Sin Dato
11/18/1923,-1,Russia,5,3,Sin Dato
12/06/1923,-1,USA,1,1,Unknown
12/23/1923,230,Sea,52,52,Weather
12/24/1923,-1,USA,1,1,Sin Dato
03/07/1924,-1,USA,1,1,Weather
04/24/1924,-1,Channel,3,3,Sin Dato
06/08/1924,-1,Colombia,5,5,Engine Failures
08/01/1924,-1,USA,1,1,Engine Failures
11/06/1924,-1,France,1,1,Weather
12/21/1924,-1,USA,1,1,Weather
12/24/1924,1200,UK,8,8,Engine Failures
03/22/1925,-1,Russia,5,5,Cargo Hold / Cabin / Cockpit Fires
04/25/1925,-1,Spain,3,3,Weather
06/25/1925,-1,France,4,4,Sin Dato
06/26/1925,-1,Spain,2,2,Weather
07/20/1925,-1,Spain,1,1,Unknown
07/24/1925,-1,Hungary,1,1,Sin Dato
09/03/1925,530,USA,43,14,Weather
10/01/1925,-1,USA,1,1,Weather
11/14/1925,-1,Mauritania,1,1,Sin Dato
11/14/1925,-1,France,2,2,Sin Dato
02/12/1926,-1,USA,1,1,Sin Dato
03/08/1926,-1,Germany,1,1,Engine Failures
05/31/1926,-1,Channel,1,1,Sin Dato
07/03/1926,-1,Czechoslovakia,6,6,Sin Dato
07/09/1926,930,Belgium,2,2,Sin Dato
07/24/1926,-1,Germany,5,5,Sin Dato
08/18/1926,-1,UK,15,3,Weather
09/26/1926,-1,USA,5,2,Sin Dato
10/02/1926,1527,Kingdom,7,7,Cargo Hold / Cabin / Cockpit Fires
10/08/1926,-1,Germany,4,4,Sin Dato
10/21/1926,1315,Channel,12,0,Engine Failures
11/11/1926,800,Morocco,3,3,Cargo Hold / Cabin / Cockpit Fires
12/16/1926,-1,USA,1,1,Weather
01/12/1927,-1,France,0,0,Sin Dato
03/20/1927,-1,Morocco,1,1,Unknown
03/24/1927,-1,Australia,3,3,Engine Failures
04/15/1927,-1,USA,1,1,Engine Failures
04/22/1927,-1,Germany,2,2,Engine Failures
04/22/1927,-1,USA,1,1,Weather
05/02/1927,-1,Algeria,3,1,Engine Failures
07/27/1927,-1,Germany,5,5,Engine Failures
08/22/1927,830,UK,11,1,Engine Failures
09/03/1927,-1,USA,1,1,Unknown
09/17/1927,-1,USA,12,7,Engine Failures
09/17/1927,405,Ocean,3,3,Sin Dato
09/23/1927,1000,Germany,6,6,Sin Dato
10/06/1927,-1,Mauritania,2,2,Sin Dato
10/30/1927,-1,USA,4,4,Sin Dato
11/08/1927,-1,France,1,1,Sin Dato
11/16/1927,-1,Finland,6,6,Sin Dato
11/29/1927,-1,USA,1,1,Sin Dato
12/28/1927,-1,Spain,1,1,Cargo Hold / Cabin / Cockpit Fires
12/31/1927,-1,France,5,5,Sin Dato
01/08/1928,-1,USA,3,3,Weather
01/16/1928,-1,Uruguay,2,2,Sin Dato
01/22/1928,-1,Ariège,1,1,Sin Dato
01/22/1928,-1,Spain,2,2,Unknown
01/27/1928,-1,Spain,1,1,Weather
02/26/1928,-1,USA,2,1,Cargo Hold / Cabin / Cockpit Fires
03/11/1928,-1,France,2,2,Sin Dato
04/17/1928,-1,USA,2,1,Weather
04/19/1928,-1,Spain,9,9,Weather
05/07/1928,-1,Brazil,5,1,Cargo Hold / Cabin / Cockpit Fires
05/12/1928,-1,USA,2,2,Sin Dato
05/26/1928,-1,Germany,5,3,Pilot Incapacitation
06/14/1928,-1,Germany,5,5,Unknown
06/22/1928,-1,USA,1,1,Sin Dato
07/10/1928,-1,Finland,6,6,Unknown
07/13/1928,-1,UK,6,4,Cargo Hold / Cabin / Cockpit Fires
07/24/1928,1448,Netherlands,6,1,Engine Failures
08/25/1928,1100,Canada,7,7,Weather
09/02/1928,915,France,5,5,Engine Failures
09/04/1928,-1,Australia,2,1,Cargo Hold / Cabin / Cockpit Fires
09/04/1928,1130,USA,7,7,Sin Dato
09/06/1928,-1,Germany,3,3,Engine Failures
10/04/1928,-1,Spain,3,3,Weather
10/18/1928,-1,USA,1,1,Cargo Hold / Cabin / Cockpit Fires
10/31/1928,-1,France,2,1,Sin Dato
11/15/1928,-1,Gibraltar,3,1,Pilot Incapacitation
11/24/1928,-1,USA,3,3,Weather
11/25/1928,-1,USA,1,1,Weather
11/25/1928,-1,USA,1,1,Weather
12/01/1928,1000,USA,5,5,Cargo Hold / Cabin / Cockpit Fires
12/03/1928,800,Brazil,14,14,Engine Failures
12/10/1928,1045,USA,5,5,Weather
12/11/1928,-1,Germany,4,3,Cargo Hold / Cabin / Cockpit Fires
12/20/1928,-1,USA,1,1,Weather
12/23/1928,-1,USA,4,4,Cargo Hold / Cabin / Cockpit Fires
12/31/1928,-1,France,3,2,Weather
01/05/1929,-1,USA,1,1,Sin Dato
01/18/1929,-1,USA,1,1,Sin Dato
01/25/1929,-1,Greece,9,2,Sin Dato
01/31/1929,-1,Morocco,2,2,Unknown
01/31/1929,-1,USA,1,1,Sin Dato
03/17/1929,1700,USA,15,14,Engine Failures
03/30/1929,918,USA,4,4,Weather
04/21/1929,1145,USA,6,6,Sin Dato
05/09/1929,-1,Mexico,5,5,Engine Failures
05/18/1929,-1,Hungary,2,2,Sin Dato
05/22/1929,-1,Algiers,6,4,Sin Dato
06/13/1929,800,Cuba,5,2,Sin Dato
06/14/1929,-1,Spain,2,1,Sin Dato
06/17/1929,1130,UK,13,7,Engine Failures
06/24/1929,-1,USA,8,1,Engine Failures
06/29/1929,2100,Germany,5,5,Sin Dato
06/29/1929,-1,USA,1,1,Weather
08/11/1929,-1,Mexico,4,4,Engine Failures
08/24/1929,-1,Russia,1,1,Unknown
08/24/1929,-1,Germany,5,4,Weather
09/02/1929,-1,USA,2,1,Weather
09/03/1929,1101,Mexico,8,8,Weather
09/06/1929,-1,Iran,5,3,Weather
09/14/1929,-1,Ocean,6,6,Unknown
09/14/1929,1800,Ontario,6,6,Unknown
09/17/1929,-1,USA,1,1,Weather
09/17/1929,-1,Morocco,5,5,Unknown
09/17/1929,-1,USA,2,1,Weather
10/26/1929,1800,Italy,7,7,Sin Dato
10/29/1929,-1,USA,1,1,Weather
10/31/1929,-1,USA,2,2,Sin Dato
11/04/1929,700,Mexico,4,4,Weather
11/06/1929,1010,UK,8,7,Weather
11/16/1929,935,France,3,3,Weather
11/20/1929,-1,Sardinia,12,1,Sin Dato
11/30/1929,-1,USA,1,1,Weather
12/02/1929,-1,USA,1,1,Weather
12/19/1929,-1,Germany,3,2,Weather
12/30/1929,1700,USA,5,5,Sin Dato
01/10/1930,-1,USA,1,1,Weather
01/13/1930,-1,Madagascar,3,3,Sin Dato
01/19/1930,1823,USA,16,16,Cargo Hold / Cabin / Cockpit Fires
01/25/1930,-1,Spain,2,2,Weather
01/27/1930,1730,USA,5,5,Cargo Hold / Cabin / Cockpit Fires
02/03/1930,-1,USA,1,1,Sin Dato
02/10/1930,-1,UK,6,2,Engine Failures
04/18/1930,1700,USA,4,4,Weather
05/10/1930,-1,Argentina,4,3,Weather
06/05/1930,-1,USA,15,1,Engine Failures
07/07/1930,-1,Denmark,8,5,Weather
07/10/1930,-1,USA,5,5,Weather
07/21/1930,1500,UK,6,6,Sin Dato
08/22/1930,1545,Czechoslovakia,11,10,Sin Dato
09/11/1930,-1,UK,2,2,Sin Dato
09/25/1930,-1,Canada,3,3,Weather
10/05/1930,205,France,54,48,Weather
10/06/1930,945,Germany,8,8,Sin Dato
10/12/1930,-1,Morocco,4,4,Sin Dato
10/13/1930,-1,Australia,3,3,Sin Dato
10/28/1930,-1,Canada,3,3,Sin Dato
10/30/1930,-1,France,6,3,Weather
10/30/1930,-1,USA,1,1,Engine Failures
11/07/1930,-1,Brazil,9,1,Sin Dato
11/18/1930,200,USA,3,3,Weather
12/09/1930,-1,China,6,4,Sin Dato
01/08/1931,2240,Belgium,2,2,Weather
01/22/1931,-1,USA,1,1,Weather
02/08/1931,-1,Zealand,3,3,Engine Failures
02/20/1931,-1,Canada,3,2,Weather
02/24/1931,-1,Spain,3,1,Fuel Starvation
03/21/1931,1300,Australia,8,8,Sin Dato
03/31/1931,1045,USA,8,8,Weather
04/14/1931,-1,Germany,10,2,Sin Dato
05/05/1931,2330,USA,2,2,Weather
05/22/1931,-1,Australia,1,1,Weather
05/24/1931,2230,USA,1,1,Weather
06/07/1931,900,Burma,4,4,Weather
06/11/1931,-1,USA,3,2,Sin Dato
06/13/1931,-1,Germany,4,4,Weather
07/12/1931,-1,USA,2,2,Engine Failures
07/14/1931,-1,Australia,2,2,Sin Dato
07/21/1931,-1,USA,1,1,Sin Dato
07/24/1931,-1,Bulgaria,7,7,Cargo Hold / Cabin / Cockpit Fires
08/09/1931,840,USA,6,6,Engine Failures
09/14/1931,2000,USA,1,1,Weather
09/15/1931,-1,Romania,6,6,Sin Dato
09/16/1931,400,USA,4,4,Sin Dato
10/06/1931,-1,Canada,3,3,Sin Dato
10/14/1931,-1,Brazil,3,3,Sin Dato
11/05/1931,648,USA,5,5,Cargo Hold / Cabin / Cockpit Fires
11/13/1931,-1,Africa,3,3,Weather
11/23/1931,-1,USA,1,1,Weather
11/24/1931,-1,China,3,3,Weather
11/26/1931,2230,USA,1,1,Weather
12/05/1931,-1,USA,6,2,Weather
12/06/1931,545,Thailand,7,5,Sin Dato
12/09/1931,-1,Algiers,2,2,Cargo Hold / Cabin / Cockpit Fires
12/31/1931,-1,USA,5,4,Weather
01/21/1932,-1,Ilinois,1,1,Weather
01/29/1932,1600,USA,8,8,Sin Dato
02/01/1932,-1,USA,5,5,Sin Dato
02/02/1932,-1,USA,2,1,Cargo Hold / Cabin / Cockpit Fires
02/02/1932,-1,USA,1,1,Weather
02/27/1932,-1,Brazil,3,3,Weather
03/08/1932,200,USA,5,3,Sin Dato
03/19/1932,1930,USA,7,7,Weather
03/21/1932,-1,USA,1,1,Sin Dato
03/29/1932,-1,Iraq,3,3,Weather
03/31/1932,-1,USA,1,1,Weather
04/21/1932,-1,USA,1,1,Sin Dato
05/16/1932,-1,USA,3,3,Weather
05/30/1932,1200,USA,2,1,Engine Failures
07/16/1932,800,Chile,9,9,Weather
08/12/1932,-1,Lebanon,7,0,Sin Dato
08/31/1932,10,Germany,2,2,Weather
09/08/1932,900,USA,4,3,Cargo Hold / Cabin / Cockpit Fires
09/17/1932,600,UK,2,1,Weather
09/18/1932,-1,Australia,3,3,Weather
10/12/1932,-1,Mauritania,1,1,Sin Dato
10/26/1932,-1,Bolivia,2,2,Sin Dato
10/29/1932,-1,UK,2,2,Sin Dato
11/02/1932,-1,Germany,5,5,Weather
11/25/1932,-1,USA,2,2,Sin Dato
12/14/1932,-1,USA,2,2,Weather
12/14/1932,-1,USA,1,1,Sin Dato
12/26/1932,-1,Australia,1,1,Sin Dato
01/10/1933,-1,Algiers,3,1,Sin Dato
01/14/1933,-1,USA,2,2,Cargo Hold / Cabin / Cockpit Fires
01/20/1933,-1,USA,1,1,Sin Dato
01/20/1933,207,USA,1,1,Weather
01/24/1933,-1,USA,3,2,Sin Dato
03/11/1933,-1,Argentina,2,2,Cargo Hold / Cabin / Cockpit Fires
03/25/1933,2007,USA,3,3,Cargo Hold / Cabin / Cockpit Fires
03/28/1933,1430,Belgium,15,15,Cargo Hold / Cabin / Cockpit Fires
04/03/1933,-1,Germany,2,1,Unknown
04/04/1933,1230,USA,76,73,Weather
04/23/1933,740,Italy,8,5,Sin Dato
04/29/1933,-1,Germany,4,4,Sin Dato
05/09/1933,1500,Spain,6,6,Sin Dato
06/04/1933,315,USA,1,1,Engine Failures
06/11/1933,1700,USA,9,9,Sin Dato
07/18/1933,1540,Sea,6,6,Sin Dato
08/29/1933,100,Mexico,5,5,Weather
09/12/1933,-1,Yugoslavia,8,8,Engine Failures
10/10/1933,2100,USA,10,10,Cargo Hold / Cabin / Cockpit Fires
10/31/1933,1120,France,5,2,Sin Dato
11/09/1933,2235,USA,10,4,Weather
11/10/1933,-1,Mexico,1,0,Cargo Hold / Cabin / Cockpit Fires
11/20/1933,-1,China,8,8,Weather
11/21/1933,1500,Russia,20,14,Sin Dato
11/24/1933,-1,USA,2,2,Unknown
12/11/1933,1600,Germany,10,6,Weather
12/14/1933,-1,Africa,6,5,Sin Dato
12/30/1933,1300,Belgium,10,10,Weather
01/15/1934,1815,France,14,14,Weather
01/20/1934,-1,France,2,2,Sin Dato
02/23/1934,1415,USA,8,8,Pilot Incapacitation
02/26/1934,-1,Morocco,6,1,Sin Dato
03/06/1934,-1,USA,4,4,Sin Dato
03/10/1934,-1,Colombia,6,5,Sin Dato
03/22/1934,-1,Peru,15,3,Engine Failures
04/10/1934,-1,China,3,3,Sin Dato
05/09/1934,-1,Channel,6,6,Weather
05/31/1934,500,UK,2,2,Sin Dato
06/09/1934,1700,USA,7,7,Weather
06/11/1934,1100,Argentina,10,6,Weather
06/22/1934,-1,Germany,7,1,Sin Dato
06/23/1934,600,USA,1,1,Weather
07/09/1934,-1,USA,4,3,Sin Dato
07/27/1934,950,Germany,12,12,Weather
08/05/1934,-1,Brazil,2,2,Sin Dato
08/31/1934,2245,USA,5,5,Pilot Incapacitation
10/02/1934,1050,Channel,7,7,Weather
10/03/1934,-1,Australia,3,3,Weather
10/19/1934,-1,Australia,11,11,Unknown
11/02/1934,-1,Australia,4,2,Sin Dato
11/15/1934,2342,USA,2,2,Weather
11/15/1934,-1,Australia,4,4,Sin Dato
12/07/1934,-1,Germany,3,3,Unknown
12/08/1934,530,USA,1,1,Sin Dato
12/10/1934,730,Cuba,8,4,Sin Dato
12/20/1934,333,Syria,7,7,Sin Dato
12/22/1934,252,USA,1,1,Weather
12/31/1934,-1,Dato,10,10,Unknown
01/08/1935,-1,Pakistan,2,0,Sin Dato
01/26/1935,-1,USA,1,1,Weather
01/31/1935,1900,Germany,11,11,Weather
02/12/1935,-1,USA,83,2,Weather
03/07/1935,-1,Germany,3,0,Sin Dato
03/15/1935,-1,Egypt,6,3,Engine Failures
03/29/1935,-1,Germany,5,5,Unknown
04/01/1935,45,France,3,1,Weather
04/06/1935,1518,Germany,7,7,Weather
05/01/1935,1045,USA,1,1,Engine Failures
05/06/1935,330,USA,14,5,Weather
05/18/1935,45,Russia,50,50,Pilot Incapacitation
05/18/1935,1835,USA,12,3,Fuel Starvation
05/27/1935,1600,USA,1,1,Sin Dato
05/28/1935,2225,USA,2,2,Sin Dato
05/29/1935,-1,Honduras,9,6,Sin Dato
06/24/1935,1436,Colombia,20,17,Sin Dato
07/14/1935,940,Netherlands,20,6,Cargo Hold / Cabin / Cockpit Fires
07/19/1935,1420,USA,2,2,Unknown
07/20/1935,1230,Switzerland,13,13,Sin Dato
07/23/1935,-1,Kingdom,8,1,Engine Failures
07/28/1935,-1,Colombia,5,5,Engine Failures
08/07/1935,800,Egypt,7,7,Sin Dato
08/14/1935,2345,USA,4,4,Engine Failures
08/15/1935,2018,USA,2,2,Weather
08/15/1935,2008,USA,3,3,Weather
09/01/1935,2300,USA,3,3,Weather
09/13/1935,900,Panama,8,8,Cargo Hold / Cabin / Cockpit Fires
10/02/1935,955,Australia,5,5,Engine Failures
10/07/1935,219,USA,12,12,Engine Failures
10/09/1935,-1,Finland,6,6,Weather
10/21/1935,1100,USA,6,1,Engine Failures
10/30/1935,1940,USA,4,4,Sin Dato
11/02/1935,-1,Brazil,4,4,Unknown
11/09/1935,440,USA,1,1,Sin Dato
11/09/1935,-1,Italy,13,12,Cargo Hold / Cabin / Cockpit Fires
11/11/1935,-1,France,3,3,Weather
12/04/1935,-1,France,2,1,Engine Failures
12/10/1935,1645,UK,11,11,Cargo Hold / Cabin / Cockpit Fires
12/24/1935,-1,Poland,3,3,Unknown
12/31/1935,1915,Egypt,13,12,Fuel Starvation
01/14/1936,-1,Colombia,16,13,Unknown
01/14/1936,1932,USA,17,17,Fuel Starvation
01/17/1936,-1,Boliva,13,13,Sin Dato
01/21/1936,1000,France,6,6,Engine Failures
01/29/1936,-1,USA,6,1,Weather
02/10/1936,-1,Ocean,6,6,Weather
02/15/1936,352,Ocean,4,4,Sin Dato
03/05/1936,-1,China,6,0,Weather
03/14/1936,-1,Chile,5,5,Sin Dato
03/26/1936,1100,Mexico,14,14,Cargo Hold / Cabin / Cockpit Fires
04/01/1936,1910,USA,2,2,Weather
04/07/1936,1020,USA,14,12,Weather
04/11/1936,520,Trinidad,25,3,Sin Dato
04/15/1936,-1,Italy,7,7,Sin Dato
04/17/1936,-1,Switzerland,5,3,Sin Dato
04/21/1936,-1,France,2,2,Sin Dato
04/30/1936,-1,Switzerland,2,2,Sin Dato
05/16/1936,-1,Australia,2,2,Cargo Hold / Cabin / Cockpit Fires
06/09/1936,-1,Sweden,15,1,Engine Failures
06/13/1936,-1,Germany,6,1,Engine Failures
06/16/1936,700,Norway,7,7,Weather
07/15/1936,-1,Croatia,7,7,Weather
07/28/1936,-1,Tajikistan,6,6,Cargo Hold / Cabin / Cockpit Fires
07/31/1936,1930,USA,10,10,Engine Failures
08/02/1936,600,France,3,3,Weather
08/03/1936,-1,Mexico,1,1,Sin Dato
08/05/1936,2200,USA,8,8,Unknown
08/06/1936,-1,Colombia,3,2,Unknown
08/12/1936,300,Germany,2,2,Unknown
08/22/1936,-1,Greece,11,2,Sin Dato
09/05/1936,2200,USA,11,10,Fuel Starvation
09/24/1936,-1,Libya,10,9,Cargo Hold / Cabin / Cockpit Fires
09/25/1936,-1,Channel,2,2,Unknown
09/28/1936,-1,USA,3,3,Weather
09/29/1936,-1,USA,4,4,Cargo Hold / Cabin / Cockpit Fires
10/06/1936,-1,Mexico,1,1,Unknown
10/09/1936,-1,Kingdom,1,1,Unknown
11/01/1936,1500,Germany,15,11,Weather
11/17/1936,1400,Germany,16,4,Pilot Incapacitation
11/19/1936,338,UK,4,2,Pilot Incapacitation
12/04/1936,1200,France,6,6,Sin Dato
12/06/1936,-1,Russia,14,9,Sin Dato
12/07/1936,1047,Africa,5,5,Engine Failures
12/09/1936,1030,UK,17,15,Pilot Incapacitation
12/15/1936,314,USA,7,7,Sin Dato
12/18/1936,323,USA,2,2,Pilot Incapacitation
12/19/1936,2047,USA,11,0,Sin Dato
12/23/1936,-1,USA,6,6,Cargo Hold / Cabin / Cockpit Fires
12/27/1936,1938,USA,12,12,Weather
01/11/1937,1030,Mexico,9,9,Sin Dato
01/12/1937,1107,USA,13,5,Weather
01/26/1937,1730,Algeria,12,12,Sin Dato
02/09/1937,2050,USA,11,11,Sin Dato
02/19/1937,1340,Australia,7,5,Cargo Hold / Cabin / Cockpit Fires
03/12/1937,-1,Gambia,4,4,Sin Dato
03/24/1937,1400,France,6,5,Weather
03/25/1937,1840,USA,13,13,Sin Dato
03/26/1937,-1,Germany,6,0,Engine Failures
05/06/1937,1925,USA,97,35,Cargo Hold / Cabin / Cockpit Fires
05/20/1937,-1,Germany,4,4,Engine Failures
06/02/1937,-1,Lagos,9,9,Sin Dato
06/20/1937,-1,Dato,6,6,Sin Dato
07/02/1937,-1,Guinea,2,2,Weather
07/28/1937,1040,Belgium,15,15,Weather
08/02/1937,-1,Sudan,9,9,Sin Dato
08/02/1937,1938,Panama,14,14,Cargo Hold / Cabin / Cockpit Fires
08/06/1937,-1,Romania,5,5,Cargo Hold / Cabin / Cockpit Fires
08/08/1937,1050,China,11,3,Sin Dato
08/10/1937,440,USA,9,4,Sin Dato
08/23/1937,-1,Argentina,3,3,Weather
